YEAR,FILED,TOLID,OFFICE,CANAL,AREA,VARITE,AGE,Y,TON
1401,03-08,1,1,03,15.47,CP69,R9,18.85,291.63
1401,03-12,1,1,03,23.38,CP69,R1,24.24,566.71
1401,03-14,1,1,03,23.08,CP69,R1,25.98,599.71
1401,03-18,1,1,03,22.47,CP69,R1,34.36,772.16
1401,03-20,1,1,03,23.61,CP69,R1,38.04,898.23
1401,03-22,1,1,03,23.11,CP69,P,41.86,967.36
1401,03-24,1,1,03,23.28,CP69,R1,38.58,898.14
1401,03-26,1,1,03,23.00,CP69,R1,33.41,768.43
1401,03-28,1,1,03,23.84,CP69,P,53.14,1266.94
1401,03-30,1,1,03,22.79,CP69,R9,34.96,796.79
1401,03-32,1,1,03,22.73,CP69,R9,32.32,734.60
1401,04-01,1,2,04,23.76,CP69,R3,NOT FOUND,NOT FOUND
1401,04-07,1,2,04,23.46,CP69,R3,NOT FOUND,NOT FOUND
1401,04-09,1,2,04,23.45,CP73,R1,20.94,490.99
1401,04-11,1,2,04,9.78,CP69,R2,9.80,95.87
1401,04-11,1,2,04,13.82,CP69,R1,11.53,159.39
1401,04-13,1,2,04,23.23,CP69,R3,13.00,301.97
1401,04-15,1,2,04,5.33,CP69,R2,10.47,55.78
1401,04-15,1,2,04,16.51,CP69,R1,11.40,188.28
1401,04-17,1,2,04,23.10,CP69,R1,28.72,663.33
1401,04-19,1,2,04,23.82,CP69,R1,16.92,403.11
1401,04-21,1,2,04,9.36,CP69,R1,28.09,262.93
1401,04-23,1,2,04,8.06,CP69,R1,36.82,296.78
1401,04-25,1,2,04,7.21,CP69,R1,36.11,260.35
1401,04-27,1,2,04,7.99,CP69,R1,53.58,428.10
1401,04-29,1,2,04,12.36,CP69,R1,16.08,198.69
1401,04-31,1,2,04,11.24,CP69,R1,14.96,168.13
1401,04-33,1,2,04,13.90,CP69,R1,27.88,387.54
1401,04-35,1,2,04,14.64,CP69,R1,21.63,316.64
1401,04-37,1,2,04,10.16,CP69,R1,23.81,241.86
1401,05-01,1,1,05,24.58,CP69,P,39.83,978.94
1401,05-02,1,1,05,22.67,CP69,P,26.36,597.58
1401,05-04,1,1,05,23.24,CP69,R3,19.55,454.28
1401,05-06,1,1,05,23.40,CP73,R3,11.85,277.36
1401,05-07,1,1,05,23.30,CP73,R3,NOT FOUND,NOT FOUND
1401,05-08,1,1,05,22.55,CP73,R3,13.99,315.52
1401,05-09,1,1,05,23.74,CP73,R3,NOT FOUND,NOT FOUND
1401,05-11,1,1,05,23.41,CP73,R3,8.75,204.86
1401,05-12,1,1,05,23.65,CP73,R3,NOT FOUND,NOT FOUND
1401,05-13,1,1,05,23.90,CP73,R3,NOT FOUND,NOT FOUND
1401,05-14,1,1,05,23.15,CP73,R3,NOT FOUND,NOT FOUND
1401,05-15,1,1,05,22.72,CP73,R1,38.26,869.31
1401,05-16,1,1,05,23.24,CP73,R2,20.54,477.26
1401,05-19,1,1,05,22.89,IRC,R1,25.49,583.43
1401,05-20,1,1,05,22.91,CP73,R4,NOT FOUND,NOT FOUND
1401,05-21,1,1,05,23.34,CP57,R1,NOT FOUND,NOT FOUND
1401,05-22,1,1,05,23.09,CP73,R3,19.70,454.97
1401,05-23,1,1,05,23.04,CP73,R3,NOT FOUND,NOT FOUND
1401,05-24,1,1,05,23.42,CP73,R4,NOT FOUND,NOT FOUND
1401,05-26,1,1,05,23.28,CP69,R3,26.21,610.25
1401,05-27,1,1,05,23.43,CP73,R4,20.15,472.04
1401,05-28,1,1,05,22.21,CP69,P,27.84,618.26
1401,05-29,1,1,05,2.78,CP57,R2,17.55,48.79
1401,05-29,1,1,05,20.03,CP69,R1,17.89,358.33
1401,05-31,1,1,05,11.44,CP73,R2,19.78,226.32
1401,05-31,1,1,05,11.55,CP69,R1,22.68,261.94
1401,06-03,1,2,06,23.40,CP69,R3,NOT FOUND,NOT FOUND
1401,06-04,1,2,06,23.31,CP48,R2,NOT FOUND,NOT FOUND
1401,06-05,1,2,06,23.09,CP57,R1,12.90,297.87
1401,06-06,1,2,06,23.78,CP48,R2,NOT FOUND,NOT FOUND
1401,06-07,1,2,06,23.59,CP73,R1,10.86,256.27
1401,06-08,1,2,06,22.94,CP69,R3,NOT FOUND,NOT FOUND
1401,06-09,1,2,06,23.08,CP73,R1,15.96,368.33
1401,06-10,1,2,06,23.40,CP69,R2,9.75,228.06
1401,06-11,1,2,06,23.40,CP73,R1,23.45,548.77
1401,06-13,1,2,06,23.17,CP73,R1,15.89,368.17
1401,06-14,1,2,06,8.08,IRC,R2,9.00,72.72
1401,06-14,1,2,06,15.77,CP73,P,11.58,182.69
1401,06-15,1,2,06,22.27,CP69,R1,19.71,439.04
1401,06-16,1,2,06,22.81,CP69,P,18.94,432.07
1401,06-17,1,2,06,22.48,CP69,R2,NOT FOUND,NOT FOUND
1401,06-18,1,2,06,3.83,CP69,R2,13.03,49.91
1401,06-18,1,2,06,18.84,CP69,R1,13.28,250.24
1401,06-20,1,2,06,16.91,CP69,P,21.56,364.50
1401,07-02,1,1,07,24.32,CP69,R4,19.21,467.18
1401,07-04,1,1,07,23.54,CP69,R1,43.99,923.89
1401,07-10,1,1,07,22.98,CP73,R1,17.90,411.38
1401,07-12,1,1,07,22.22,CP73,R4,12.94,287.50
1401,07-14,1,1,07,23.28,CP73,R5,NOT FOUND,NOT FOUND
1401,07-16,1,1,07,10.07,CP69,R1,24.73,249.02
1401,07-16,1,1,07,12.60,CP69,R2,19.59,246.87
1401,07-18,1,1,07,9.67,CP69,R1,25.39,245.53
1401,07-18,1,1,07,12.18,CP69,R2,22.81,277.88
1401,07-20,1,1,07,22.97,CP73,R2,NOT FOUND,NOT FOUND
1401,07-22,1,1,07,0.41,CP69,R4,45.05,18.47
1401,07-22,1,1,07,1.77,CP69,R3,41.84,74.05
1401,07-22,1,1,07,9.25,CP69,R2,43.03,398.03
1401,07-22,1,1,07,11.57,CP73,R5,31.68,366.51
1401,07-24,1,1,07,11.00,CP69,R1,63.15,694.60
1401,07-32,1,1,07,19.74,CP69,P,41.05,810.39
1401,08-03,1,2,08,23.56,CP48,R2,NOT FOUND,NOT FOUND
1401,08-05,1,2,08,23.69,CP48,R2,NOT FOUND,NOT FOUND
1401,08-07,1,2,08,23.35,CP73,R2,NOT FOUND,NOT FOUND
1401,08-09,1,2,08,23.36,CP73,R2,NOT FOUND,NOT FOUND
1401,08-15,1,2,08,22.40,CP69,R1,16.25,364.03
1401,08-17,1,2,08,22.75,CP69,R1,45.00,1023.74
1401,08-19,1,2,08,1.45,CP57,R1,18.54,26.89
1401,08-19,1,2,08,21.94,CP69,R1,14.43,316.69
1401,08-21,1,2,08,23.76,CP69,R1,25.33,601.81
1401,08-23,1,2,08,3.05,CP69,R2,18.64,56.84
1401,08-23,1,2,08,20.45,CP69,R1,16.95,346.59
